Time,Date,Computer Name,User Agent String,IP Address,Source IP,URL,Action,Bytes Sent,Bytes Received
13:56:58,10/19/2024,Workstation-006,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1",139.161.92.50,10.10.10.187,https://www.franklin-diaz.org/,Allowed,52110,97647
13:42:19,10/20/2024,Workstation-009,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",75.192.43.130,10.10.10.15,https://www.wilson-lindsey.com/,Blocked,79107,59077
13:44:39,10/19/2024,Workstation-005,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",197.180.7.167,10.10.10.159,https://campbell.org/,Allowed,62034,51319
13:40:42,10/18/2024,Workstation-003,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",3.49.46.134,10.10.10.18,https://lee-le.com/,Blocked,75683,14645
13:01:34,10/18/2024,Workstation-001,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0,47.197.223.54,10.10.10.158,http://mills-johnson.com/,Allowed,3398,89782
13:15:03,10/20/2024,Workstation-002,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0,32.206.214.245,10.10.10.6,https://grant-brady.com/,Allowed,42737,15086
13:59:36,10/20/2024,Workstation-001,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",185.246.194.112,10.10.10.163,https://foster.com/,Blocked,18927,34504
13:08:31,10/19/2024,Workstation-002,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3",112.197.224.80,10.10.10.93,http://www.martinez-whitehead.com/,Allowed,6398,19724
13:39:17,10/20/2024,Workstation-009,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0,156.131.241.73,10.10.10.35,https://wilson-reyes.com/,Blocked,9992,67878
13:27:35,10/19/2024,Workstation-008,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3",153.47.252.155,10.10.10.90,http://www.allen.net/,Allowed,12923,4858
13:00:25,10/19/2024,Workstation-006,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1",123.61.103.148,10.10.10.122,http://www.cunningham.com/,Allowed,29523,35632
13:14:51,10/19/2024,Workstation-008,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0,171.176.255.85,10.10.10.215,http://gonzalez.biz/,Allowed,59926,49069
13:20:35,10/20/2024,Workstation-005,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3",104.202.132.29,10.10.10.89,https://www.kemp-medina.org/,Blocked,83774,51947
13:48:59,10/19/2024,Workstation-009,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1",77.52.54.149,10.10.10.97,https://rodgers-jones.com/,Allowed,4903,19821
13:22:54,10/19/2024,Workstation-008,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0,98.175.156.219,10.10.10.69,http://davis.com/,Allowed,77898,42336
13:02:03,10/20/2024,Workstation-006,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1",143.237.143.122,10.10.10.11,https://www.smith-turner.org/,Allowed,81578,20610
13:17:48,10/19/2024,Workstation-003,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1",76.6.1.57,10.10.10.211,http://www.long.com/,Allowed,22129,36347
13:45:00,10/20/2024,Workstation-005,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3",173.230.103.90,10.10.10.34,https://sims.com/,Allowed,66873,39698
13:24:10,10/19/2024,Workstation-002,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",134.157.164.134,10.10.10.32,https://www.frank.com/,Blocked,22578,66615
13:37:35,10/19/2024,Workstation-005,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0,31.133.247.178,10.10.10.12,http://www.potter-larson.org/,Blocked,80098,26413
13:17:21,10/20/2024,Workstation-008,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1",151.30.38.241,10.10.10.195,http://www.cole.com/,Allowed,50004,80678
13:22:36,10/18/2024,Workstation-006,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",159.144.211.8,10.10.10.89,https://gonzalez-walker.com/,Allowed,99436,83657
13:41:35,10/20/2024,Workstation-010,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1",114.71.249.197,10.10.10.29,http://mayer.com/,Allowed,33493,11995
13:50:11,10/19/2024,Workstation-005,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1",146.63.56.47,10.10.10.133,https://curry-garcia.com/,Allowed,74326,95497
13:07:42,10/19/2024,Workstation-005,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0,117.114.16.14,10.10.10.53,http://anderson.org/,Blocked,29329,4604
13:38:44,10/18/2024,Workstation-005,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0,62.247.252.88,10.10.10.164,https://www.oconnor.com/,Blocked,40896,47274
13:25:45,10/19/2024,Workstation-010,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0,109.61.251.168,10.10.10.24,https://www.jimenez.com/,Allowed,55397,46633
13:08:33,10/18/2024,Workstation-002,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0,126.32.133.84,10.10.10.249,https://www.fischer-blake.com/,Blocked,29969,81860
13:24:16,10/18/2024,Workstation-005,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3",114.218.243.26,10.10.10.139,http://www.smith.com/,Blocked,94218,93163
13:54:18,10/19/2024,Workstation-008,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Mobile/15E148 Safari/604.1",66.207.20.184,10.10.10.89,http://www.frederick-bryant.com/,Blocked,58138,27517
13:11:51,10/18/2024,Workstation-003,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0,137.236.5.254,10.10.10.165,http://www.mercado-miller.info/,Blocked,76046,47887
13:18:49,10/18/2024,Workstation-004,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0,39.127.155.126,10.10.10.236,http://parker.com/,Blocked,21506,99142
13:41:30,10/20/2024,Workstation-006,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.3",31.18.73.129,10.10.10.209,https://cochran-moran.info/,Allowed,84869,22269
13:18:43,10/20/2024,Workstation-003,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",12.161.40.73,10.10.10.110,http://www.johnson.org/,Allowed,10855,87075
13:03:46,10/19/2024,Workstation-006,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0,11.7.198.245,10.10.10.221,https://www.brady.com/,Blocked,80756,3561
13:40:05,10/19/2024,Workstation-002,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:88.0) Gecko/20100101 Firefox/88.0,37.164.157.176,10.10.10.179,http://www.henderson.com/,Allowed,48945,14301
13:58:16,10/19/2024,Workstation-005,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:77.0) Gecko/20100101 Firefox/77.0,103.236.194.128,10.10.10.99,https://www.anderson-wilson.org/,Blocked,51956,83924
